Region,State,2013-14 - Generation (MU),2013-14 - % growth,2014-15 - Generation (MU),2014-15 - % growth,2015-16 - Generation (MU),2015-16 - % growth
NR,BBMB,12125.01,10.78,10599.78,-12.58,11818.9,11.5
NR,DELHI,8637.67,-19.58,8722.83,0.99,6206.1,-28.85
NR,HARYANA,26374.22,3.77,28748.61,9,22247.14,-22.61
NR,HIMACHAL PRADESH,21680.66,6.64,23319.13,7.56,27087.49,16.16
NR,JAMMU AND KASHMIR,12426.79,-0.47,14485.02,16.56,15136.15,4.5
NR,PUNJAB,20731.49,-5.5,22960.9,10.75,23342.89,1.66
NR,RAJASTHAN,45851.36,8.23,54185.92,18.18,53947.35,-0.44
NR,UTTAR PRADESH,111843.01,7.18,111901.74,0.05,111329.53,-0.51
NR,UTTARAKHAND,11025.01,-11.37,11439.22,3.76,12765.92,11.6
NR Total,NR Total,270695.22,3.71,286363.15,5.79,283881.47,-0.87
WR,CHHATTISGARH,70930.12,4.13,79710.57,12.38,89513.29,12.3
WR,GOA,241.32,-1.67,12.61,-94.77,0,-100
WR,GUJARAT,97198.69,6.82,105538.54,8.58,104917.26,-0.59
WR,MADHYA PRADESH,59646.87,17.66,75212.47,26.1,95740.5,27.29
WR,MAHARASHTRA,94699.94,2.78,107309.21,13.31,117244.43,9.26
WR Total,WR Total,322716.94,6.8,367783.4,13.96,407415.48,10.78
SR,ANDHRA PRADESH,45526.85,-3.16,45245.42,-0.62,58230.59,28.7
SR,KARNATAKA,49364.51,12,50163.29,1.62,47553.25,-5.2
SR,KERALA,9249.8,34.69,8034.17,-13.14,6653.34,-17.19
SR,PUDUCHERRY,256.97,11.36,102.14,-60.25,227.59,122.82
SR,TAMIL NADU,62210.7,15.86,71418.41,14.8,76406.83,6.98
SR,TELANGANA,39152.87,-0.78,40901.97,4.47,36868.2,-9.86
SR Total,SR Total,205761.7,7.54,215865.4,4.91,225939.8,4.67
ER,ANDAMAN NICOBAR,171.49,26.27,153.76,-10.34,182.85,18.92
ER,BIHAR,14939.36,1.58,18272.27,22.31,20827.01,13.98
ER,DVC,28115.29,6.99,25551.11,-9.12,28029.93,9.7
ER,JHARKHAND,14345.18,24.52,14621.88,1.93,15933.67,8.97
ER,ORISSA,46212.19,9.43,51332.44,11.08,57221.8,11.47
ER,SIKKIM,2945.38,13.44,3345.29,13.58,3551.92,6.18
ER,WEST BENGAL,46069.88,-1.62,49742.02,7.97,46946.62,-5.62
ER Total,ER Total,152798.77,5.89,163018.77,6.69,172693.8,5.93
NER,ARUNACHAL PRADESH,980.94,-20.89,1109.48,13.1,1280.25,15.39
NER,ASSAM,4365.22,3.88,4299.84,-1.5,4522.12,5.17
NER,MANIPUR,639.84,10.24,372.44,-41.79,536.64,44.09
NER,MEGHALAYA,981.61,26.7,863.15,-12.07,1035.99,20.02
NER,NAGALAND,245.71,15.17,165.15,-32.79,163.14,-1.22
NER,TRIPURA,2366.49,66.07,3824.44,61.61,5109.38,33.6
NER Total,NER Total,9579.81,13.56,10634.5,11.01,12647.52,18.93
IMPORT,Bhutan (IMPORT),5597.9,16.76,5007.74,-10.54,5244.21,4.72
IMPORT Total,IMPORT Total,5597.9,16.76,5007.74,-10.54,5244.21,4.72
Grand Total,Grand Total,967150.34,6.04,1048672.96,8.43,1107822.28,5.64
